day,value
21-08-2020,28670.2
22-08-2020,28671.12
23-08-2020,28672.05
24-08-2020,28672.97
25-08-2020,28673.9
26-08-2020,28674.82
27-08-2020,28675.75
28-08-2020,28676.67
29-08-2020,28677.6
30-08-2020,28678.52
31-08-2020,28679.45
01-09-2020,28680.37
02-09-2020,28681.3
03-09-2020,28682.22
04-09-2020,28683.14
05-09-2020,28684.07
06-09-2020,28684.99
07-09-2020,28685.92
08-09-2020,28686.84
09-09-2020,28687.77
10-09-2020,28688.73
11-09-2020,28689.68
12-09-2020,28690.64
13-09-2020,28691.59
14-09-2020,28692.55
15-09-2020,28693.51
16-09-2020,28694.46
17-09-2020,28695.42
18-09-2020,28696.37
19-09-2020,28697.33
20-09-2020,28698.29
21-09-2020,28699.24
22-09-2020,28700.2
23-09-2020,28701.15
24-09-2020,28702.11
25-09-2020,28703.07
26-09-2020,28704.02
27-09-2020,28704.98
28-09-2020,28705.94
29-09-2020,28706.89
30-09-2020,28707.85
01-10-2020,28708.8
02-10-2020,28709.76
03-10-2020,28710.72
04-10-2020,28711.67
05-10-2020,28712.63
06-10-2020,28713.59
07-10-2020,28714.54
08-10-2020,28715.5
09-10-2020,28716.46
10-10-2020,28722
11-10-2020,28727.54
12-10-2020,28733.09
13-10-2020,28738.63
14-10-2020,28744.18
15-10-2020,28749.73
16-10-2020,28755.28
17-10-2020,28760.83
18-10-2020,28766.38
19-10-2020,28771.93
20-10-2020,28777.48
21-10-2020,28783.03
22-10-2020,28788.59
23-10-2020,28794.14
24-10-2020,28799.7
25-10-2020,28805.26
26-10-2020,28810.82
27-10-2020,28816.38
28-10-2020,28821.94
29-10-2020,28827.5
30-10-2020,28833.07
31-10-2020,28838.63
01-11-2020,28844.2
02-11-2020,28849.76
03-11-2020,28855.33
04-11-2020,28860.9
05-11-2020,28866.47
06-11-2020,28872.04
07-11-2020,28877.61
08-11-2020,28883.18
09-11-2020,28888.76
10-11-2020,28895.48
11-11-2020,28902.2
12-11-2020,28908.92
13-11-2020,28915.64
14-11-2020,28922.37
15-11-2020,28929.09
16-11-2020,28935.82
17-11-2020,28942.55
18-11-2020,28949.28
19-11-2020,28956.01
20-11-2020,28962.74
21-11-2020,28969.48
22-11-2020,28976.22
23-11-2020,28982.95
24-11-2020,28989.69
25-11-2020,28996.44
26-11-2020,29003.18
27-11-2020,29009.92
28-11-2020,29016.67
29-11-2020,29023.42
30-11-2020,29030.17
01-12-2020,29036.92
02-12-2020,29043.67
03-12-2020,29050.42
04-12-2020,29057.18
05-12-2020,29063.94
06-12-2020,29070.7
07-12-2020,29077.46
08-12-2020,29084.22
09-12-2020,29090.98
10-12-2020,29090.04
11-12-2020,29089.1
12-12-2020,29088.16
13-12-2020,29087.22
14-12-2020,29086.29
15-12-2020,29085.35
16-12-2020,29084.41
17-12-2020,29083.47
18-12-2020,29082.53
19-12-2020,29081.59
20-12-2020,29080.65
21-12-2020,29079.72
22-12-2020,29078.78
23-12-2020,29077.84
24-12-2020,29076.9
25-12-2020,29075.96
26-12-2020,29075.02
27-12-2020,29074.08
28-12-2020,29073.15
29-12-2020,29072.21
30-12-2020,29071.27
31-12-2020,29070.33
